index1,firebase_event_origin_x,firebase_event_origin_y,ga_session_id,engaged_session_event,session_engaged,ga_session_number,firebase_screen_id,firebase_screen_class,engagement_time_msec,entrances,freeride,firebase_previous_id,firebase_previous_class,item_subcategory,recommended,item_category,item_name,item_number,item_id,debug_event,previous_os_version,campaign_info_source,medium,source,system_app,system_app_update,update_with_analytics,firebase_conversion,previous_first_open_count,search_term,search_book,search_type,search_subcategory,search_category,previous_app_version,timestamp,timestamp_double
0,auto,auto,1604801718,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,auto,auto,1604785674,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,auto,auto,1604785674,1,,7,5886278566822990329,MainActivity,28592,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,auto,auto,1604785674,1,,7,5886278566822990330,ViewerActivity,20888,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,auto,auto,1604785674,1,,7,5886278566822990331,ViewerActivity,2468,,,5886278566822990330,ViewerActivity,,,,,,,,,,,,,,,,,,,,,,,,
5,auto,auto,1604785674,1,,7,5886278566822990331,ViewerActivity,2468,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,auto,auto,1604785674,1,,7,5886278566822990330,ViewerActivity,1713,,,5886278566822990331,ViewerActivity,,,,,,,,,,,,,,,,,,,,,,,,
7,auto,auto,1604785674,1,,7,5886278566822990330,ViewerActivity,1713,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,auto,auto,1604785674,1,,7,5886278566822990329,MainActivity,,,,5886278566822990330,ViewerActivity,,,,,,,,,,,,,,,,,,,,,,,,
9,auto,auto,1604785674,1,,7,5886278566822990329,MainActivity,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,auto,auto,1604801718,1,,8,5028289959276152867,MainActivity,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,auto,auto,1604801718,1,,8,5028289959276152867,MainActivity,2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,auto,auto,1604785674,1,,7,5886278566822990329,MainActivity,28592,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,auto,auto,1604785674,1,,7,5886278566822990330,ViewerActivity,20888,,,5886278566822990329,MainActivity,,,,,,,,,,,,,,,,,,,,,,,,
14,app,app,1604785674,1,,7,5886278566822990329,MainActivity,,,,,,One with Him,0,Union with Christ,"One with Thee, Thou Son eternal",475,-Kz11vltpzqTPrY8Knk1,,,,,,,,,,,,,,,,,,
15,auto,auto,1604784107,1,1,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,auto,auto,1604784107,1,,121,1138067612262236821,MainActivity,5473,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,auto,auto,1604784107,1,,121,1138067612262236822,ViewerActivity,23533,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
18,auto,auto,1604784107,1,,121,1138067612262236821,MainActivity,5473,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,auto,auto,1604784107,1,,121,1138067612262236822,ViewerActivity,23533,,,1138067612262236821,MainActivity,,,,,,,,,,,,,,,,,,,,,,,,
20,auto,auto,1604784107,1,,121,1138067612262236822,ViewerActivity,73196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
